"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1619","user can login from the csv files","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.LoginTestRunnerCSV","User Flow","TestRunners.LoginTestRunnerCSV","csvLogin"
"","36475","user can update email properly","Default Suite","2025-10-20","broken","2025-10-20","TestRunners.UserprofilePageRunner","TestNg_Assignment","TestRunners.UserprofilePageRunner","updateEmail"
"","1931","user can login from the csv files","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.LoginTestRunnerCSV","User Flow","TestRunners.LoginTestRunnerCSV","csvLogin"
"","6611","items can be added properly","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.AddItemTestRunner","User Flow","TestRunners.AddItemTestRunner","addItemsAndVerify"
"","2665","user can login from the csv files","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.LoginTestRunnerCSV","User Flow","TestRunners.LoginTestRunnerCSV","csvLogin"
"","872","user can login properly","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.LoginTestRunner","User Flow","TestRunners.LoginTestRunner","userLogin"
"","12776","Reset password with registered Gmail and login with new password","Default Suite","2025-10-20","passed","2025-10-20","TestRunners.ResetPasswordTestRunner","TestNg_Assignment","TestRunners.ResetPasswordTestRunner","sendResetLinkWithRegisteredEmail"
"","10458","user can signup properly","Full Automation Suite","2025-10-20","passed","2025-10-20","TestRunners.SignupTestRunner","User Flow","TestRunners.SignupTestRunner","runSignupTest"
